exp	scale	metric	value	verdict	note
AE	800000	fgt_ratio_flat_over_dual	1.13	dual-retention-holds	flat=+0.947 dual=+0.840 cap=8000
AD	16149974	analogy_raw_restricted_t1	0.7716	raw-beats-smoothed	raw_t5=0.944 smooth_t1=0.646 open_t1=0.418
AD	16149974	analogy_raw_open_t1	0.4184	raw-beats-smoothed	open_t5=0.677 N=30000 M=6000
AB	250000000	ece_improvement_x	8.38	ece-win-holds	bare_ece=0.2647 rev_ece=0.0316
AB	250000000	ppl_revision	6.42	ece-win-holds	bare_ppl=9.52
AA	150000000	sleep_dbpc	0.01221	sleep-flat	mem+33% rareΔ-0.127 entries=8102202
AA	150000000	agg_best_cycle	0	turning-point-early	best_bpc=1.6859 last=2.0363 degraded
AC	960000000	kl_f1_tol25	0.4467	KL-beats-surprisal	surp=0.032 be=0.013 words=135617929 gold=229184
AC	960000000	kl_f1_tol50	0.4799	KL-beats-surprisal	surp=0.084
Z	100010346	unseen_ppl_win_x	56.509	unseen-win-holds	big=765758462.7 wr=13551091.3 vocab=20000 probes=120000
Z	100010346	rare_ppl_wr	nan	unseen-win-holds	big=nan clusters=4000
AF	100010346	open_ppl_construction	10793.54	construction-generalizes	ngram=60015.9 win%=81.9 open_frames=36751
AF	100010346	open_win_frac	0.8186	construction-generalizes	C=400 N=12000
W	80005922	rare_prox_gain_standalone	nan	proximity-fails	in_combo=nan graphN=6000 rare_n=0
Y	460800000	concept_share_p0	99.87	reliance-shift-flat	p0.3=97.9 shift=-1.9pp
Y	460800000	concept_share_p0.3	97.93	reliance-shift-flat	modwt 0.275->0.236
